gene,cluster,n_cluster,frac_in,frac_out,odds_ratio,p,q
STK11,2,25,0.24,0.06557377049180328,4.5,0.015580148361850125,0.4323840367389874
NRF2_pathway,4,35,0.08571428571428572,0.2627118644067797,0.26310483870967744,0.0355400136487381,0.4323840367389874
KRAS,4,35,0.45714285714285713,0.2627118644067797,2.363327674023769,0.03706148886334178,0.4323840367389874
EGFR,5,14,0.21428571428571427,0.07194244604316546,3.518181818181818,0.10073274512689472,0.7524965436015292
EGFR,0,42,0.023809523809523808,0.10810810810810811,0.20121951219512196,0.11485903213341037,0.7524965436015292
NRF2_pathway,0,42,0.30952380952380953,0.1891891891891892,1.9211822660098523,0.12899940747454786,0.7524965436015292
EGFR,4,35,0.14285714285714285,0.06779661016949153,2.2916666666666665,0.17526905551561592,0.8444695172517572
STK11,4,33,0.030303030303030304,0.11403508771929824,0.24278846153846154,0.1930216039432588,0.8444695172517572
KEAP1,0,34,0.058823529411764705,0.021739130434782608,2.8125,0.2942564909520063,1.0
TP53,5,14,0.42857142857142855,0.5611510791366906,0.5865384615384616,0.40460795486128454,1.0
NRF2_pathway,2,25,0.28,0.2109375,1.454732510288066,0.4394197325809527,1.0
KEAP1,2,19,0.05263157894736842,0.028037383177570093,1.9259259259259258,0.48440947635282805,1.0
NRF2_pathway,5,14,0.2857142857142857,0.2158273381294964,1.4533333333333334,0.5139992184650171,1.0
KRAS,5,14,0.21428571428571427,0.31654676258992803,0.5888429752066116,0.5521514552983308,1.0
KRAS,0,42,0.2619047619047619,0.32432432432432434,0.739247311827957,0.5570339264751196,1.0
TP53,1,23,0.6086956521739131,0.5384615384615384,1.3333333333333333,0.6509691809355224,1.0
EGFR,1,23,0.043478260869565216,0.09230769230769231,0.44696969696969696,0.6927935807917212,1.0
EGFR,2,25,0.04,0.09375,0.4027777777777778,0.6949809768627878,1.0
NRF2_pathway,1,23,0.17391304347826086,0.23076923076923078,0.7017543859649122,0.7858227698355345,1.0
KRAS,1,23,0.2608695652173913,0.3153846153846154,0.7661406025824964,0.8067543624961295,1.0
KRAS,2,25,0.28,0.3125,0.8555555555555555,0.816982980370953,1.0
SMARCA4,2,25,0.0,0.015625,0.0,1.0,1.0
SMARCA4,1,23,0.0,0.015384615384615385,0.0,1.0,1.0
SMARCA4,0,42,0.0,0.018018018018018018,0.0,1.0,1.0
STK11,5,12,0.08333333333333333,0.0962962962962963,0.8531468531468531,1.0,1.0
KEAP1,4,33,0.030303030303030304,0.03225806451612903,0.9375,1.0,1.0
KEAP1,1,19,0.0,0.037383177570093455,0.0,1.0,1.0
SMARCA4,4,35,0.0,0.01694915254237288,0.0,1.0,1.0
STK11,1,23,0.08695652173913043,0.0967741935483871,0.8888888888888888,1.0,1.0
STK11,0,41,0.0975609756097561,0.09433962264150944,1.037837837837838,1.0,1.0
TP53,4,35,0.5428571428571428,0.5508474576271186,0.9682692307692308,1.0,1.0
TP53,2,25,0.56,0.546875,1.0545454545454545,1.0,1.0
TP53,0,42,0.5476190476190477,0.5495495495495496,0.9922346850733391,1.0,1.0
KEAP1,5,10,0.0,0.034482758620689655,0.0,1.0,1.0
SMARCA4,5,14,0.0,0.014388489208633094,0.0,1.0,1.0
