task,cohort,target,scheme,n,n_pos,auroc_abmil,auroc_abmil_lo,auroc_abmil_hi,auprc_abmil,auroc_linear,auroc_linear_lo,auroc_linear_hi,auprc_linear
LUAD_EGFR,LUAD,EGFR,random,153,13,0.6093406593406594,0.4557772010928652,0.7455970570525365,0.11967634965195062,0.5406593406593406,0.3766735218283549,0.6773438885058604,0.10613084730454778
LUAD_KRAS,LUAD,KRAS,random,153,47,0.5742673625050181,0.4789873603224034,0.6748205509018659,0.4163248488560827,0.5923323966278603,0.5005403642639917,0.6860908447198037,0.435074817404398
LUAD_TP53,LUAD,TP53,random,153,84,0.6901311249137336,0.5997730865741329,0.7746041543624279,0.7277525320785153,0.6312974465148378,0.539858076504922,0.720355693689027,0.6588667165893178
LUAD_STK11,LUAD,STK11,random,147,14,0.6525241675617616,0.45853943850267376,0.825641339869281,0.19668410323557736,0.6573576799140709,0.45557114350587846,0.8222774643142869,0.20212966791164627
LUAD_NRF2_pathway,LUAD,NRF2_pathway,random,153,34,0.4471082550667326,0.3481723145950422,0.55953703691227,0.20353323407690777,0.4280771131982205,0.3182827319917064,0.5390141471533518,0.2045093292836256
LUSC_TP53,LUSC,TP53,random,128,101,0.44884488448844884,0.3310299191557014,0.56260348583878,0.7732522084759712,0.4836817015034837,0.3747505944125223,0.5922650426862305,0.8163251619652498
NSCLC_TP53,NSCLC,TP53,random,281,185,0.6628378378378378,0.598518675721562,0.7265406975696812,0.7619719281803998,0.6668918918918919,0.5964176143283036,0.7267704325047242,0.7871503124392067
NSCLC_NRF2_pathway,NSCLC,NRF2_pathway,random,281,69,0.5807355756084223,0.4962831853948726,0.6572656800563778,0.3189367799847522,0.5678151490292589,0.48990057359719963,0.642523591174907,0.2953156450283332
NSCLC_subtype_LUSC,NSCLC,is_LUSC,random,281,128,0.9743157679738561,0.9590203647416413,0.9870327324897649,0.9727852718649443,0.9504697712418301,0.9245132636139399,0.9715612720224096,0.9445989475781897
LUAD_EGFR,LUAD,EGFR,site,153,13,0.7664835164835164,0.6382887013939839,0.8793183269476373,0.2532956573416601,0.7368131868131869,0.5794691022544283,0.8650636802810716,0.24061188424794777
LUAD_KRAS,LUAD,KRAS,site,153,47,0.4429947812123646,0.34333167918041385,0.5442827066057918,0.3576919423539865,0.5072260136491369,0.40454199735449736,0.6134968897468897,0.34727691247968095
LUAD_TP53,LUAD,TP53,site,153,84,0.6666666666666666,0.5755972293337887,0.7471763878309328,0.6778852045384363,0.6007591442374052,0.5030900743849102,0.6936549660923275,0.6244165560888852
LUAD_STK11,LUAD,STK11,site,147,14,0.6487647690655209,0.4564715359828142,0.8168616310160428,0.2357598670863174,0.611170784103115,0.4049105989563151,0.8020292477008895,0.2372346293359508
LUAD_NRF2_pathway,LUAD,NRF2_pathway,site,153,34,0.43030153237765695,0.32130886940208975,0.5362102038198524,0.19427924392661597,0.42906574394463665,0.32440362528064565,0.5398882831953699,0.19572413208309067
LUSC_TP53,LUSC,TP53,site,128,101,0.4312431243124313,0.3115619179710719,0.5442437725915449,0.7796258547284506,0.48881554822148876,0.35678234063895825,0.6092027287539956,0.7908460298678516
NSCLC_TP53,NSCLC,TP53,site,281,185,0.6579391891891893,0.5882711136436187,0.7224573718667138,0.7696332686951997,0.6165540540540542,0.5403068562793394,0.6832717142375399,0.7394510014987602
NSCLC_NRF2_pathway,NSCLC,NRF2_pathway,site,281,69,0.5749248017500684,0.5009999534145739,0.6488401666163293,0.29222443463671166,0.5383511074651353,0.46377076591154265,0.6107844157575608,0.2577384115002738
NSCLC_subtype_LUSC,NSCLC,is_LUSC,site,281,128,0.7486979166666667,0.697136552084602,0.8054946009910711,0.6629710705996602,0.6521650326797386,0.5908515902715298,0.7149176327028676,0.6319746478931108
